Team ID,Team Name,Conference,Image
103,Boston College,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
25,Cal,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
228,Clemson,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
150,Duke,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
52,Florida State,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
59,Georgia Tech,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png
97,Louisville,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
2390,Miami,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
153,North Carolina,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
152,NC State,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
221,Pitt,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
2567,SMU,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
24,Stanford,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
183,Syracuse,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png
258,Virginia,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
259,Virginia Tech,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png
